ObjectID,PID,Civic.Number,Street,Full.Civic.Address,Closest.University,DestinationRank,Total_Length
7347,103069,5228B,SOUTH ST,5228B SOUTH ST, Sexton Campus,1,290.1399509
7348,103077,5225,TOBIN ST,5225 TOBIN ST, Sexton Campus,1,351.032108
7349,103085,5229,TOBIN ST,5229 TOBIN ST, Sexton Campus,1,348.6471512
7350,103093,5231A,TOBIN ST,5231A TOBIN ST, Sexton Campus,1,352.4866034
7351,103093,5231B,TOBIN ST,5231B TOBIN ST, Sexton Campus,1,354.424732
7352,103093,5231C,TOBIN ST,5231C TOBIN ST, Sexton Campus,1,356.3742409
7353,103101,5239,TOBIN ST,5239 TOBIN ST, Sexton Campus,1,367.5860021
7354,103119,5241,TOBIN ST,5241 TOBIN ST, Sexton Campus,1,377.5255328
7355,103119,5243,TOBIN ST,5243 TOBIN ST, Sexton Campus,1,379.9583396
7356,103119,5244,SOUTH ST,5244 SOUTH ST, Sexton Campus,1,321.7822101
7357,103119,5245,TOBIN ST,5245 TOBIN ST, Sexton Campus,1,382.7981827
7358,103119,5247,TOBIN ST,5247 TOBIN ST, Sexton Campus,1,385.0677606
7359,103127,5258,SOUTH ST,5258 SOUTH ST, Sexton Campus,1,307.3711039
7360,103127,5259,TOBIN ST,5259 TOBIN ST, Sexton Campus,1,396.5784262
7361,103135,5261,TOBIN ST,5261 TOBIN ST, Sexton Campus,1,412.9161955
7362,103135,5263,TOBIN ST,5263 TOBIN ST, Sexton Campus,1,416.5556381
7363,103143,5265,TOBIN ST,5265 TOBIN ST, Sexton Campus,1,425.693791
7364,103150,5267,TOBIN ST,5267 TOBIN ST, Sexton Campus,1,434.0846837
7365,103168,5273,TOBIN ST,5273 TOBIN ST, Sexton Campus,1,442.9045554
7366,103168,5275,TOBIN ST,5275 TOBIN ST, Sexton Campus,1,449.9209667
7367,103184,5285,TOBIN ST,5285 TOBIN ST, Sexton Campus,1,448.3393249
7368,103192,5287,TOBIN ST,5287 TOBIN ST, Sexton Campus,1,440.8363024
7369,103192,5289,TOBIN ST,5289 TOBIN ST, Sexton Campus,1,433.6193664
7370,103200,5293,TOBIN ST,5293 TOBIN ST, Sexton Campus,1,426.4652932
7371,103200,5295,TOBIN ST,5295 TOBIN ST, Sexton Campus,1,426.213754
7372,103200,5297,TOBIN ST,5297 TOBIN ST, Sexton Campus,1,420.758531
7373,103218,5299,TOBIN ST,5299 TOBIN ST, Sexton Campus,1,417.9956683
7374,103218,5301,TOBIN ST,5301 TOBIN ST, Sexton Campus,1,415.8935662
7375,103218,5301B,TOBIN ST,5301B TOBIN ST, Sexton Campus,1,413.1362967
7376,103226,5303,TOBIN ST,5303 TOBIN ST, Sexton Campus,1,390.5463282
7377,103234,1119,QUEEN ST,1119 QUEEN ST, Sexton Campus,1,491.7192938
7378,103242,5293,GREEN ST,5293 GREEN ST, Sexton Campus,1,561.3139072
7379,103275,5275,GREEN ST,5275 GREEN ST, Sexton Campus,1,590.1923084
7380,103283,5270,KENT ST,5270 KENT ST, Sexton Campus,1,550.6329959
7381,103291,5260,KENT ST,5260 KENT ST, Sexton Campus,1,528.2670153
7382,103309,5254,KENT ST,5254 KENT ST, Sexton Campus,1,509.2990344
7383,103317,5240,KENT ST,5240 KENT ST, Sexton Campus,1,484.7893764
7384,103325,5225,GREEN ST,5225 GREEN ST, Sexton Campus,1,521.2287882
7385,103333,5215,GREEN ST,5215 GREEN ST, Sexton Campus,1,505.6156968
7386,103341,5213,GREEN ST,5213 GREEN ST, Sexton Campus,1,496.2242149
7387,103366,1110,BARRINGTON ST,1110 BARRINGTON ST, Sexton Campus,1,480.0705672
7388,103366,1112,BARRINGTON ST,1112 BARRINGTON ST, Sexton Campus,1,437.8905825
7389,103382,1118,BARRINGTON ST,1118 BARRINGTON ST, Sexton Campus,1,420.1887601
7390,103390,1124,BARRINGTON ST,1124 BARRINGTON ST, Sexton Campus,1,412.3877076
7391,103408,1128,BARRINGTON ST,1128 BARRINGTON ST, Sexton Campus,1,411.0068587
7392,103416,5216,KENT ST,5216 KENT ST, Sexton Campus,1,426.8742776
7393,103424,5220,KENT ST,5220 KENT ST, Sexton Campus,1,434.7407965
7394,103432,5222,KENT ST,5222 KENT ST, Sexton Campus,1,441.3887558
