ObjectID_1,PID,Civic.Number,Street,Full.Civ.Add,Closest.Uni,Dist.Uni,Destination,Dist.CBD
8017,111021,3435,MCALPINE AVE,3435 MCALPINE AVE,Studley Campus,3861.470121,City Hall,4654.123591
8018,111021,3437,MCALPINE AVE,3437 MCALPINE AVE,Studley Campus,3863.013014,City Hall,4652.580698
8019,111021,3439,MCALPINE AVE,3439 MCALPINE AVE,Studley Campus,3863.258997,City Hall,4652.334716
8020,111021,3441,MCALPINE AVE,3441 MCALPINE AVE,Studley Campus,3861.073111,City Hall,4648.192174
8021,111021,3443,MCALPINE AVE,3443 MCALPINE AVE,Studley Campus,3857.33152,City Hall,4644.450583
8022,111021,3445,MCALPINE AVE,3445 MCALPINE AVE,Studley Campus,3847.173198,City Hall,4634.292261
8023,111021,3446,MCALPINE AVE,3446 MCALPINE AVE,Studley Campus,3852.217996,City Hall,4639.337059
8024,111021,3448,MCALPINE AVE,3448 MCALPINE AVE,Studley Campus,3846.865138,City Hall,4633.984202
8025,111021,3449,MCALPINE AVE,3449 MCALPINE AVE,Studley Campus,3840.246877,City Hall,4627.36594
8026,111021,3450,MCALPINE AVE,3450 MCALPINE AVE,Studley Campus,3840.92952,City Hall,4628.048583
8027,111021,3451,MCALPINE AVE,3451 MCALPINE AVE,Studley Campus,3833.729135,City Hall,4620.848199
8028,111021,3452,MCALPINE AVE,3452 MCALPINE AVE,Studley Campus,3834.659671,City Hall,4621.778734
8029,111021,3453,MCALPINE AVE,3453 MCALPINE AVE,Studley Campus,3827.461832,City Hall,4614.580895
8030,111021,3454,MCALPINE AVE,3454 MCALPINE AVE,Studley Campus,3828.485108,City Hall,4615.604171
8031,111021,3455,MCALPINE AVE,3455 MCALPINE AVE,Studley Campus,3821.440274,City Hall,4608.559337
8032,111021,3456,MCALPINE AVE,3456 MCALPINE AVE,Studley Campus,3822.797055,City Hall,4609.916118
8033,111021,3458,MCALPINE AVE,3458 MCALPINE AVE,Studley Campus,3716.00037,City Hall,4612.186797
8034,111021,3458,MICMAC ST,3458 MICMAC ST,Studley Campus,3435.742337,City Hall,4289.34331
8035,111021,3460,MCALPINE AVE,3460 MCALPINE AVE,Studley Campus,3715.984588,City Hall,4612.171015
8036,111021,3460,MICMAC ST,3460 MICMAC ST,Studley Campus,3441.631172,City Hall,4295.232145
8037,111021,3462,MCALPINE AVE,3462 MCALPINE AVE,Studley Campus,3802.477003,City Hall,4589.596066
8038,111021,3462,MICMAC ST,3462 MICMAC ST,Studley Campus,3447.734435,City Hall,4301.335408
8039,111021,3464,MCALPINE AVE,3464 MCALPINE AVE,Studley Campus,3802.154707,City Hall,4589.27377
8040,111021,3464,MICMAC ST,3464 MICMAC ST,Studley Campus,3453.438353,City Hall,4307.039326
8041,111021,3466,MCALPINE AVE,3466 MCALPINE AVE,Studley Campus,3801.584853,City Hall,4588.703916
8042,111021,3466,MICMAC ST,3466 MICMAC ST,Studley Campus,3459.726533,City Hall,4313.327506
8043,111021,3468,MCALPINE AVE,3468 MCALPINE AVE,Studley Campus,3801.047815,City Hall,4588.166878
8044,111021,3468,MICMAC ST,3468 MICMAC ST,Studley Campus,3466.052582,City Hall,4319.653555
8045,111021,3470,MCALPINE AVE,3470 MCALPINE AVE,Studley Campus,3729.901912,City Hall,4626.088339
8046,111021,3470,MICMAC ST,3470 MICMAC ST,Studley Campus,3471.767077,City Hall,4325.36805
8047,111021,3472,MCALPINE AVE,3472 MCALPINE AVE,Studley Campus,3729.410522,City Hall,4625.596949
8048,111021,3472,MICMAC ST,3472 MICMAC ST,Studley Campus,3487.223054,City Hall,4340.824027
8049,111021,3474,MCALPINE AVE,3474 MCALPINE AVE,Studley Campus,3792.515968,City Hall,4579.635031
